Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016099-MVA	S700016504-MVA	S700016604-MVA	S700021930-MVA	S700023100-MVA	S700023202-MVA	S700023281-MVA	S700023434-MVA	S700023491-MVA	S700023668-MVA	S700023802-MVA	S700023859-MVA	S700023916-MVA	S700024001-MVA	S700024078-MVA	S700024161-MVA	S700024268-MVA	S700024393-MVA	S700024766-MVA	S700024843-MVA	S700024880-MVA	S700032284-MVA	S700032378-MVA	S700032474-MVA	S700032675-MVA	S700033041-MVA	S700033193-MVA	S700033498-MVA	S700033789-MVA	S700034228-MVA	S700034294-MVA	S700034834-MVA	S700035697-MVA	S700035993-MVA	S700037175-MVA	S700037234-MVA	S700037337-MVA	S700037714-MVA	S700037848-MVA	S700037981-MVA	S700038318-MVA	S700038736-MVA	S700038795-MVA	S700095275-MVA	S700095709-MVA	S700097353-MVA	S700097750-MVA	S700097899-MVA	S700098329-MVA	S700098421-MVA	S700098661-MVA	S700098994-MVA	S700099121-MVA	S700099350-MVA	S700099948-MVA	S700100289-MVA	S700100536-MVA	S700101220-MVA	S700101286-MVA	S700101577-MVA	S700102647-MVA	S700103303-MVA	S700103513-MVA	S700103706-MVA	S700105063-MVA	S700105120-MVA	S700105177-MVA	S700105234-MVA	S700105451-MVA	S700105644-MVA	S700105719-MVA	S700105794-MVA	S700105996-MVA	S700106052-MVA	S700106089-MVA	S700106120-MVA	S700106146-MVA	S700106518-MVA	S700106575-MVA	S700106910-MVA	S700107437-MVA	S700108157-MVA	S700108280-MVA	S700108403-MVA	S700108592-MVA	S700108658-MVA	S700109683-MVA	S700109983-MVA	S700110151-MVA	S700110808-MVA	S700111218-MVA	S700111636-MVA	S700111807-MVA	S700113209-MVA	S700113537-MVA	S700113576-MVA	S700113854-MVA	S700113911-MVA	S700113968-MVA	S700113995-MVA	S700114159-MVA	S700114232-MVA	S700114301-MVA	S700114456-MVA	S700114592-MVA	S700114649-MVA	S700114935-MVA	S700116110-MVA	S700116215-MVA	S700116340-MVA	S700116445-MVA	S700116482-MVA	S700116655-MVA	S700116712-MVA	S700116961-MVA	S700116996-MVA	S700117149-MVA	S700117228-MVA	S700117639-MVA	S700117696-MVA	S700117751-MVA	S700117810-MVA	S700117952-MVA	S700119104-MVA	S700119492-MVA	S700119624-MVA	S700120049-MVA	S700121052-MVA	S700121701-MVA	S700123624-MVA	S700161054-MVA	S700161111-MVA	S700161216-MVA	S700161508-MVA	S700161683-MVA	S700161738-MVA	S700161852-MVA	S700161959-MVA	S700163044-MVA	S700163215-MVA	S700163272-MVA	S700163588-MVA	S700163713-MVA	S700163768-MVA	S700163865-MVA	S700163922-MVA	S700163977-MVA	S700164084-MVA	S700164139-MVA	S700164226-MVA	S700164283-MVA	S700164552-MVA	S700164607-MVA	S700164646-MVA	S700164769-MVA	S700164826-MVA	S700164866-MVA	S700165201-MVA	S700165489-MVA	S700165909-MVA	S700165966-MVA	S700166087-MVA	S700166837-MVA	S700167977-MVA	S700171149-MVA	S700171224-MVA	S700171761-MVA	S700171836-MVA	S700171893-MVA	S700171989-MVA	S700172064-MVA	S700172333-MVA	S700172475-MVA	S700172552-MVA	S700172760-MVA	S700172867-MVA	S700173173-MVA	S700173431-MVA	S700173681-MVA	S700173930-MVA	S700173965-MVA	S700175120-MVA	S700175205-MVA
Bacteria	domain				93.667	99.984	75.796	100.0	99.895	99.97	88.32	99.948	98.294	99.853	99.848	99.685	99.127	91.556	99.128	99.544	99.016	99.417	97.525	95.129	99.638	100.0	100.0	99.972	100.0	99.945	100.0	99.388	98.137	63.11	99.925	100.0	99.539	99.793	98.901	99.485	98.638	96.612	98.978	95.689	99.412	99.988	99.895	99.436	92.964	78.987	98.711	99.829	97.981	97.225	99.807	98.361	85.247	99.787	69.756	100.0	99.782	100.0	99.777	98.384	98.475	96.405	99.517	98.418	99.9	93.464	99.775	99.62	99.85	99.283	95.774	99.715	99.237	99.316	99.823	99.932	99.953	98.852	89.071	97.838	100.0	100.0	98.091	91.631	99.961	99.981	88.234	100.0	99.83	99.676	99.425	96.896	99.959	99.952	94.374	99.486	99.095	100.0	99.256	100.0	79.201	97.141	99.945	99.767	99.568	99.817	99.944	97.429	100.0	90.001	99.455	97.663	100.0	99.255	99.279	99.986	99.697	94.438	100.0	98.927	99.964	98.132	98.042	99.983	98.228	99.233	78.344	98.754	98.594	100.0	100.0	97.191	98.917	96.438	100.0	98.119	99.066	99.493	99.914	77.486	99.435	97.455	100.0	99.931	100.0	100.0	75.028	99.572	93.485	100.0	100.0	99.47	95.084	97.627	91.054	97.05	99.983	99.51	99.955	76.335	99.69	99.897	100.0	99.769	99.764	95.494	100.0	99.986	100.0	100.0	99.412	99.968	100.0	99.404	97.489	99.91	96.142	99.986	98.474	99.296	99.434	94.984	99.939
Bacteria;Actinomycetota	phylum				1.496	0.031	52.644	0.034	0.551	0.03	5.729	0.035	0.015	3.348	0.457	0.3	0.04	0.963	0.108	0.412	0.201	0.088	0.306	20.272	0.042	0.011	0.0	0.111	0.029	5.04	0.393	0.054	3.027	19.492	0.011	0.154	0.0	0.0	35.48	0.163	3.071	0.043	14.657	0.533	0.309	0.037	0.026	0.423	0.477	48.351	0.0	0.029	27.346	1.184	0.0	0.056	5.237	1.913	30.699	0.298	4.33	0.056	0.011	7.318	0.134	65.897	0.167	7.086	0.0	0.223	0.239	0.123	0.015	0.023	20.285	2.868	0.053	0.659	0.067	0.039	0.071	0.463	16.706	0.045	0.015	0.0	0.018	0.1	0.256	0.095	54.607	0.018	0.441	3.145	2.947	96.723	0.0	0.071	2.784	0.0	0.018	0.03	55.047	0.0	0.323	0.183	0.0	0.022	88.601	1.559	3.148	23.076	0.119	12.992	0.0	0.05	0.0	0.057	1.03	0.0	0.353	0.52	0.024	0.016	0.0	0.028	0.087	0.0	0.0	0.0	38.587	0.0	0.189	0.237	0.032	0.0	0.042	2.729	0.277	0.0	0.807	0.23	0.043	48.076	0.04	0.582	46.227	0.116	0.0	0.067	18.578	0.428	1.391	0.0	0.0	0.278	3.316	0.237	6.342	0.088	0.365	0.425	34.358	56.823	0.05	0.015	0.515	0.0	0.236	26.324	5.284	0.058	0.0	0.0	0.0	0.143	0.284	5.24	0.431	0.075	0.362	0.099	2.218	0.0	0.014	37.337	0.0
Bacteria;Bacteroidota	phylum				0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.052	0.0	0.147	0.0	0.135	0.0	0.222	0.0	0.022	0.0	0.0	0.0	0.082	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.037	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.865	0.0	0.0	0.0	0.0	0.0	0.575	0.0	0.416	0.0	0.0	0.252	0.213	1.678	0.0	0.444	0.106	0.767	27.927	0.0	0.0	0.011	0.122	0.0	10.505	0.0	0.196	0.0	0.95	0.0	0.0	0.0	0.012	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.04	0.0	0.082	0.0	0.0	0.0	0.022	0.039	0.038	0.0	0.0	0.13	0.0	0.0	0.057	0.055	0.0	0.322	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078	1.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.947	7.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.293	0.047	0.0	0.489	0.0	0.0	0.032	0.0	1.322	0.185	0.166	0.0	0.0	0.138	0.0	0.229	0.0	0.0	0.0	1.505	0.0	0.0	1.396	0.0	0.0	0.0	0.0	0.227	0.648	0.0	0.0	0.029	0.017	0.0	0.0	4.082	0.0	0.201	0.064	0.0	0.098	0.018	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.018	0.0	0.0	0.0
Bacteria;Bacillota	phylum				90.536	99.819	19.944	99.966	99.322	99.896	82.008	99.843	98.265	95.477	99.224	99.22	99.028	89.556	98.447	99.089	98.77	99.222	96.725	74.643	99.485	99.955	100.0	99.861	99.971	94.887	99.18	93.213	90.809	5.606	99.903	98.681	99.539	99.645	63.235	99.321	95.567	95.563	84.238	95.031	99.072	99.945	99.868	97.203	41.875	16.669	98.684	96.743	70.223	95.828	97.724	98.306	79.565	97.768	10.076	71.735	95.451	99.944	99.755	90.423	98.287	20.003	99.313	90.898	99.9	92.179	99.494	99.473	99.835	99.249	75.47	96.847	99.145	98.632	99.645	99.893	99.881	98.308	72.156	97.601	99.985	100.0	98.029	91.509	99.665	99.733	31.822	99.982	99.249	96.532	96.478	0.115	99.904	99.881	91.248	99.486	99.042	99.97	44.208	99.984	66.134	96.853	99.945	99.723	8.633	96.619	96.178	74.227	99.881	76.682	99.455	97.594	100.0	97.251	90.319	99.986	99.344	93.866	99.952	98.911	99.964	98.104	97.955	99.983	97.935	99.186	20.883	98.265	98.384	99.763	99.935	97.191	97.533	90.888	99.28	98.119	97.452	99.125	99.871	29.181	99.395	96.655	53.773	98.31	100.0	99.933	38.778	99.144	85.791	99.961	100.0	98.965	73.819	97.39	84.651	93.224	99.602	99.086	65.597	15.43	98.289	99.68	99.42	99.769	99.429	64.664	94.716	99.783	100.0	99.979	99.381	99.809	99.716	94.164	86.783	99.791	95.72	99.462	96.256	99.278	99.392	57.484	99.939
Bacteria;Fusobacteriota	phylum				0.0	0.0	3.208	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.163	0.0
Bacteria;Pseudomonadota	phylum				0.765	0.134	0.0	0.0	0.0	0.044	0.389	0.0	0.0	0.881	0.166	0.03	0.06	0.815	0.573	0.022	0.045	0.106	0.495	0.131	0.014	0.034	0.0	0.0	0.0	0.018	0.427	6.121	4.279	0.0	0.011	1.121	0.0	0.148	0.186	0.0	0.0	0.142	0.084	0.125	0.031	0.006	0.0	1.236	50.613	0.18	0.027	3.057	0.161	0.0	0.405	0.0	0.0	0.0	0.008	0.04	0.0	0.0	0.0	0.52	0.054	0.0	0.028	0.238	0.0	0.112	0.042	0.025	0.0	0.0	0.019	0.0	0.013	0.025	0.111	0.0	0.0	0.04	0.0	0.109	0.0	0.0	0.044	0.0	0.0	0.114	0.027	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.016	0.999	0.104	0.0	0.022	2.256	0.052	0.618	0.126	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.052	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.199	0.0	0.021	0.0	0.0	0.0	0.021	2.636	0.277	0.0	0.807	0.0	0.0	0.0	0.0	0.218	0.0	0.0	0.0	0.0	0.0	0.0	6.302	0.02	0.0	0.0	17.302	0.0	0.0	3.68	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.145	0.0	0.021	0.031	0.0	0.0	0.0	10.274	0.0	0.06	0.425	0.0	0.0	0.028	0.0	0.0
Bacteria;Synergistota	phylum				0.87	0.0	0.0	0.0	0.0	0.0	0.195	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Mycoplasmatota	phylum				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.811	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.348	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Actinomycetes	class				0.522	0.031	30.672	0.034	0.551	0.03	5.729	0.035	0.015	3.348	0.457	0.285	0.04	0.963	0.108	0.412	0.201	0.088	0.306	12.219	0.042	0.011	0.0	0.111	0.029	5.04	0.393	0.054	3.027	5.681	0.011	0.154	0.0	0.0	35.48	0.163	2.51	0.043	14.657	0.533	0.309	0.037	0.026	0.379	0.477	45.335	0.0	0.029	25.832	1.029	0.0	0.056	5.237	1.913	10.935	0.298	3.675	0.056	0.011	7.318	0.134	65.897	0.167	6.694	0.0	0.223	0.239	0.123	0.015	0.023	20.285	2.868	0.053	0.659	0.067	0.039	0.071	0.463	5.971	0.045	0.015	0.0	0.018	0.1	0.256	0.057	24.06	0.018	0.361	3.145	2.947	96.723	0.0	0.071	2.784	0.0	0.018	0.03	55.047	0.0	0.323	0.183	0.0	0.022	88.601	1.559	3.148	23.076	0.119	9.585	0.0	0.05	0.0	0.057	1.03	0.0	0.353	0.52	0.024	0.016	0.0	0.028	0.087	0.0	0.0	0.0	22.781	0.0	0.189	0.237	0.032	0.0	0.042	2.729	0.277	0.0	0.807	0.23	0.043	34.933	0.04	0.582	46.227	0.116	0.0	0.067	4.545	0.37	1.391	0.0	0.0	0.278	3.316	0.237	2.328	0.088	0.365	0.229	34.358	28.104	0.05	0.015	0.515	0.0	0.236	14.069	5.284	0.058	0.0	0.0	0.0	0.143	0.284	4.346	0.431	0.075	0.362	0.099	2.218	0.0	0.014	4.081	0.0
Bacteria;Actinomycetota;Coriobacteriia	class				0.974	0.0	21.971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.811	0.0	0.0	0.0	0.0	0.0	0.0	0.561	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	3.016	0.0	0.0	1.514	0.155	0.0	0.0	0.0	0.0	19.764	0.0	0.655	0.0	0.0	0.0	0.0	0.0	0.0	0.392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.736	0.0	0.0	0.0	0.0	0.0	0.0	0.038	30.547	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.143	0.0	0.0	0.0	0.0	0.0	0.0	14.032	0.058	0.0	0.0	0.0	0.0	0.0	0.0	4.013	0.0	0.0	0.196	0.0	28.718	0.0	0.0	0.0	0.0	0.0	12.255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.257	0.0
Bacteria;Bacteroidota;Bacteroidia	class				0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.052	0.0	0.147	0.0	0.135	0.0	0.222	0.0	0.022	0.0	0.0	0.0	0.082	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.037	0.0	0.044	0.0	0.0	0.0	0.0	0.0	0.865	0.0	0.0	0.0	0.0	0.0	0.575	0.0	0.416	0.0	0.0	0.252	0.213	1.678	0.0	0.444	0.106	0.767	27.927	0.0	0.0	0.011	0.122	0.0	10.505	0.0	0.196	0.0	0.95	0.0	0.0	0.0	0.012	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.04	0.0	0.082	0.0	0.0	0.0	0.022	0.039	0.038	0.0	0.0	0.13	0.0	0.0	0.057	0.055	0.0	0.322	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078	1.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.947	7.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.293	0.047	0.0	0.489	0.0	0.0	0.032	0.0	1.322	0.185	0.166	0.0	0.0	0.138	0.0	0.229	0.0	0.0	0.0	1.505	0.0	0.0	1.396	0.0	0.0	0.0	0.0	0.227	0.648	0.0	0.0	0.029	0.017	0.0	0.0	4.082	0.0	0.201	0.064	0.0	0.098	0.018	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.018	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli	class				87.961	99.819	9.061	99.966	99.141	99.793	80.895	99.53	98.265	94.567	99.072	98.905	99.008	88.568	98.447	99.089	98.703	99.222	96.725	74.479	99.36	99.955	99.933	99.834	99.942	94.758	99.18	93.181	90.776	0.897	99.763	98.681	99.517	99.585	63.201	99.321	95.367	95.067	84.188	95.031	98.979	99.908	99.868	97.051	41.534	9.105	98.675	96.314	69.787	95.498	96.721	98.264	75.754	97.104	1.314	71.02	95.251	99.944	99.755	90.19	97.672	18.206	99.221	90.408	99.894	91.117	99.452	99.375	99.82	99.191	74.944	96.806	99.132	97.847	99.645	99.834	99.881	98.087	35.14	97.438	99.956	99.984	97.87	85.188	99.626	99.485	26.367	99.982	98.858	96.516	96.478	0.0	99.891	99.762	91.004	99.486	98.865	99.97	43.058	99.984	64.842	96.697	99.901	99.712	8.181	92.414	19.224	73.202	99.881	2.165	99.455	97.588	100.0	93.585	86.921	99.986	99.293	93.866	99.952	98.911	99.929	98.104	97.933	99.934	97.921	99.171	10.949	98.118	98.174	99.73	99.821	97.191	96.231	90.564	99.114	98.119	97.452	98.941	99.656	19.962	99.395	96.509	53.739	96.666	100.0	99.899	6.545	99.144	85.741	99.941	100.0	98.864	73.552	97.364	18.229	93.166	99.453	99.086	65.506	7.308	98.165	99.679	99.227	99.698	99.33	54.57	94.716	99.783	99.981	99.979	99.381	99.809	99.573	94.164	86.783	99.716	95.72	99.405	96.19	99.225	99.392	2.305	99.924
Bacteria;Bacillota;Clostridia	class				2.192	0.0	0.821	0.0	0.176	0.104	1.112	0.279	0.0	0.91	0.125	0.315	0.02	0.988	0.0	0.0	0.067	0.0	0.0	0.164	0.125	0.0	0.067	0.028	0.029	0.092	0.0	0.032	0.033	0.28	0.14	0.0	0.022	0.059	0.034	0.0	0.2	0.496	0.05	0.0	0.062	0.037	0.0	0.152	0.34	0.979	0.0	0.429	0.436	0.33	1.003	0.042	3.811	0.664	3.96	0.716	0.2	0.0	0.0	0.233	0.615	1.797	0.091	0.49	0.007	1.061	0.042	0.098	0.015	0.058	0.526	0.041	0.013	0.76	0.0	0.058	0.0	0.222	27.501	0.164	0.03	0.016	0.159	6.321	0.039	0.248	0.136	0.0	0.391	0.015	0.0	0.115	0.014	0.119	0.244	0.0	0.177	0.0	1.15	0.0	1.291	0.157	0.044	0.011	0.039	4.206	76.785	1.025	0.0	68.887	0.0	0.006	0.0	3.666	3.399	0.0	0.05	0.0	0.0	0.0	0.036	0.0	0.022	0.05	0.015	0.016	1.038	0.147	0.21	0.034	0.114	0.0	1.301	0.324	0.166	0.0	0.0	0.184	0.215	0.076	0.0	0.145	0.034	1.644	0.0	0.034	27.989	0.0	0.05	0.02	0.0	0.101	0.267	0.026	59.681	0.058	0.149	0.0	0.09	0.0	0.124	0.001	0.193	0.071	0.098	2.62	0.0	0.0	0.019	0.0	0.0	0.0	0.142	0.0	0.0	0.075	0.0	0.057	0.065	0.053	0.0	45.309	0.015
Bacteria;Bacillota;Negativicutes	class				0.383	0.0	10.062	0.0	0.006	0.0	0.0	0.035	0.0	0.0	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.0	4.429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	6.584	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	9.515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.412	0.0	0.169	0.0	0.0	5.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.143	0.0	0.0	0.0	0.0	0.0	0.0	4.244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.74	0.0	0.0	0.0	0.0	8.122	0.0	0.0	0.0	0.0	0.0	7.474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.87	0.0
Bacteria;Fusobacteriota;Fusobacteriia	class				0.0	0.0	3.208	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.163	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria	class				0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.014	0.0	0.0	0.247	0.048	0.0	0.0	0.018	0.073	0.016	0.014	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.027	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.112	0.028	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.039	0.0	0.011	1.746	0.013	0.45	0.016	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.052	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062	0.0	0.0	0.0	0.0	0.0	0.0	0.101	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0
