Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-10p	BM-90p	BM-sd	BM-prev	HP-mean	HP-10p	HP-90p	HP-sd	HP-prev	KG-mean	KG-10p	KG-90p	KG-sd	KG-prev	PT-mean	PT-10p	PT-90p	PT-sd	PT-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SV-mean	SV-10p	SV-90p	SV-sd	SV-prev	TD-mean	TD-10p	TD-90p	TD-sd	TD-prev	TH-mean	TH-10p	TH-90p	TH-sd	TH-prev	NS-mean	NS-10p	NS-90p	NS-sd	NS-prev
Bacteria	domain			100.001	99.994	99.981	100.011	0.023	100.0	100.001	99.991	100.014	0.008	100.0	99.999	99.988	100.011	0.01	100.0	99.999	99.988	100.013	0.01	100.0	99.958	99.888	100.01	0.102	100.0	99.984	99.94	100.012	0.036	100.0	99.999	99.986	100.01	0.011	100.0	100.0	99.992	100.009	0.007	100.0	99.997	99.983	100.01	0.01	100.0	99.921	99.845	99.987	0.063	100.0
Bacteria;Proteobacteria	phylum			17.658	14.126	1.983	32.204	11.931	100.0	15.247	2.877	28.612	11.787	100.0	17.658	1.883	38.283	16.393	100.0	8.486	1.301	21.149	8.17	100.0	8.472	0.9	17.872	8.496	100.0	8.234	1.299	14.599	8.06	100.0	10.876	1.168	26.635	10.454	100.0	13.131	1.7	30.286	12.391	100.0	9.011	1.056	24.86	9.122	100.0	1.1	0.0	3.157	1.69	70.0
Bacteria;Firmicutes	phylum			68.665	68.665	49.205	92.961	17.464	100.0	59.768	39.202	84.656	18.479	100.0	68.167	41.979	93.396	20.285	100.0	53.416	33.858	74.438	17.594	100.0	32.197	16.561	57.449	15.868	100.0	41.388	23.566	66.062	15.557	100.0	56.26	33.572	82.349	20.006	100.0	55.268	34.548	77.099	18.068	100.0	55.257	39.621	73.48	14.445	100.0	20.267	2.616	46.69	24.307	100.0
Bacteria;Actinobacteria	phylum			78.476	6.023	0.968	14.68	5.786	100.0	6.583	1.736	11.606	5.406	100.0	4.121	0.111	12.252	6.198	100.0	5.098	0.939	10.559	5.127	100.0	16.739	2.313	37.576	14.744	100.0	14.16	4.343	34.678	13.62	100.0	7.266	1.592	14.668	5.295	100.0	6.338	0.162	11.981	5.018	100.0	4.78	1.543	9.263	2.871	100.0	78.476	52.67	97.202	24.771	100.0
Bacteria;Spirochaetes	phylum			1.366	0.097	0.0	0.275	0.269	64.706	0.028	0.0	0.075	0.07	60.714	0.026	0.0	0.065	0.053	47.222	0.328	0.0	0.425	0.874	77.419	1.366	0.0	3.992	3.435	91.429	0.235	0.0	0.488	0.499	76.471	0.018	0.0	0.051	0.021	61.111	0.01	0.0	0.021	0.025	55.882	0.057	0.0	0.095	0.126	87.879	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteria	phylum			19.097	4.312	0.141	10.864	4.67	100.0	4.392	0.585	8.798	5.76	100.0	3.523	0.081	10.645	4.653	100.0	9.537	2.906	17.257	9.476	100.0	19.097	1.301	39.55	14.494	100.0	18.606	2.61	34.382	12.683	100.0	4.912	0.248	13.532	5.507	100.0	8.045	0.115	22.1	9.812	100.0	8.988	1.389	17.437	8.976	100.0	0.018	0.0	0.085	0.041	30.0
Bacteria;Bacteroidetes	phylum			21.526	6.275	0.177	17.624	6.493	100.0	13.655	2.041	27.003	11.194	100.0	5.963	0.155	14.305	7.242	100.0	21.526	7.931	38.269	12.042	100.0	16.774	2.365	30.041	10.439	100.0	14.197	3.904	26.665	9.048	100.0	19.559	2.579	43.985	16.097	100.0	16.637	0.474	30.836	11.017	100.0	20.712	9.346	30.931	9.136	100.0	0.057	0.0	0.172	0.109	40.0
Bacteria;Absconditabacteria_(SR1)	phylum			0.604	0.029	0.0	0.097	0.051	52.941	0.046	0.0	0.135	0.109	53.571	0.073	0.0	0.297	0.159	50.0	0.604	0.0	2.621	1.4	64.516	0.209	0.0	0.126	1.407	57.143	0.059	0.0	0.121	0.16	55.882	0.329	0.0	0.715	1.051	63.889	0.106	0.0	0.129	0.379	55.882	0.364	0.0	1.105	0.839	63.636	0.0	0.0	0.0	0.0	0.0
Bacteria;Saccharibacteria_(TM7)	phylum			4.575	0.418	0.007	0.901	0.913	100.0	0.259	0.01	0.52	0.445	96.429	0.458	0.002	2.262	0.924	91.667	0.807	0.039	2.096	1.373	100.0	4.575	0.021	14.415	6.904	100.0	2.986	0.033	6.572	5.847	100.0	0.764	0.042	1.242	2.21	100.0	0.461	0.002	1.007	0.631	100.0	0.805	0.094	1.48	1.139	100.0	0.003	0.0	0.001	0.009	10.0
Bacteria;Synergistetes	phylum			0.392	0.032	0.0	0.143	0.078	50.0	0.009	0.0	0.031	0.021	28.571	0.004	0.0	0.004	0.013	25.0	0.072	0.0	0.097	0.277	45.161	0.392	0.0	0.972	1.2	57.143	0.024	0.0	0.126	0.048	47.059	0.006	0.0	0.018	0.012	41.667	0.001	0.0	0.002	0.003	17.647	0.009	0.0	0.024	0.023	42.424	0.0	0.0	0.0	0.0	0.0
Bacteria;Chloroflexi	phylum			0.013	0.001	0.0	0.001	0.003	11.765	0.0	0.0	0.0	0.002	7.143	0.0	0.0	0.0	0.002	2.778	0.0	0.0	0.001	0.001	16.129	0.013	0.0	0.003	0.065	20.0	0.001	0.0	0.002	0.002	14.706	0.0	0.0	0.0	0.002	8.333	0.0	0.0	0.0	0.001	2.941	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Tenericutes	phylum			0.126	0.014	0.0	0.06	0.035	41.176	0.008	0.0	0.021	0.019	35.714	0.003	0.0	0.011	0.009	25.0	0.126	0.0	0.219	0.407	58.065	0.018	0.0	0.034	0.048	45.714	0.008	0.0	0.027	0.015	41.176	0.007	0.0	0.013	0.017	44.444	0.002	0.0	0.002	0.006	17.647	0.014	0.0	0.037	0.029	39.394	0.0	0.0	0.0	0.0	0.0
Bacteria;Gracilibacteria_(GN02)	phylum			0.105	0.004	0.0	0.014	0.007	29.412	0.007	0.0	0.018	0.021	25.0	0.002	0.0	0.003	0.006	22.222	0.001	0.0	0.001	0.002	12.903	0.105	0.0	0.059	0.62	57.143	0.087	0.0	0.324	0.182	58.824	0.003	0.0	0.005	0.011	25.0	0.0	0.0	0.0	0.0	5.882	0.001	0.0	0.004	0.002	27.273	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria	class			0.235	0.001	0.0	0.004	0.001	14.706	0.002	0.0	0.01	0.006	17.857	0.001	0.0	0.001	0.004	16.667	0.235	0.0	0.002	1.309	16.129	0.002	0.0	0.002	0.012	17.143	0.001	0.0	0.0	0.002	5.882	0.0	0.0	0.0	0.0	5.556	0.0	0.0	0.0	0.001	8.824	0.001	0.0	0.004	0.003	18.182	0.0	0.0	0.0	0.001	5.0
Bacteria;Firmicutes;Clostridia	class			4.317	0.92	0.004	2.316	1.318	94.118	1.342	0.066	3.455	1.62	100.0	1.01	0.007	2.188	1.994	97.222	4.317	0.292	10.153	4.401	100.0	2.832	0.064	8.17	3.395	100.0	1.062	0.06	2.138	0.996	100.0	2.958	0.125	6.144	2.804	100.0	3.241	0.017	9.588	4.278	100.0	3.643	0.419	7.774	4.356	100.0	0.001	0.0	0.0	0.003	5.0
Bacteria;Proteobacteria;Betaproteobacteria	class			7.985	3.746	0.082	8.233	5.707	100.0	7.985	0.765	20.451	9.715	100.0	3.494	0.035	11.35	8.129	100.0	3.875	0.069	10.052	4.948	96.774	4.168	0.072	10.62	6.865	100.0	3.627	0.304	7.447	5.507	100.0	5.909	0.094	18.793	8.211	97.222	7.057	0.124	17.263	9.972	100.0	4.558	0.091	11.981	6.647	96.97	0.756	0.0	1.701	1.58	65.0
Bacteria;Firmicutes;Tissierellia	class			3.617	0.154	0.0	0.582	0.234	85.294	0.193	0.008	0.454	0.287	100.0	0.199	0.0	0.541	0.445	77.778	0.533	0.004	1.119	1.268	90.323	1.983	0.001	5.872	3.073	94.286	0.255	0.003	0.504	0.449	91.176	0.609	0.007	1.602	1.167	91.667	0.207	0.0	0.617	0.369	79.412	0.166	0.004	0.383	0.189	93.939	3.617	0.0	7.621	6.031	85.0
Bacteria;Actinobacteria;Actinomycetia	class			78.476	5.917	0.966	14.629	5.806	100.0	6.365	1.638	11.274	5.433	100.0	3.636	0.11	10.901	5.058	100.0	4.342	0.645	8.939	4.784	100.0	15.545	1.861	37.549	14.665	100.0	13.8	4.253	34.436	13.708	100.0	5.894	1.519	13.148	4.3	100.0	5.366	0.156	10.264	4.256	100.0	4.065	0.985	7.587	2.621	100.0	78.476	52.67	97.202	24.771	100.0
Bacteria;Firmicutes;Bacilli	class			63.343	63.041	36.358	88.198	19.131	100.0	53.578	33.33	79.193	19.866	100.0	63.343	34.343	91.788	23.426	100.0	42.581	18.333	68.292	20.626	100.0	22.279	3.76	48.82	16.571	100.0	32.972	17.941	54.94	14.762	100.0	47.927	21.569	78.338	22.522	100.0	45.228	22.801	76.906	21.544	100.0	43.076	23.37	64.597	16.673	100.0	16.617	2.21	32.736	23.932	100.0
Bacteria;Spirochaetes;Spirochaetia	class			1.366	0.097	0.0	0.275	0.269	64.706	0.028	0.0	0.075	0.07	60.714	0.026	0.0	0.065	0.053	47.222	0.328	0.0	0.425	0.874	77.419	1.366	0.0	3.992	3.435	91.429	0.235	0.0	0.488	0.499	76.471	0.018	0.0	0.051	0.021	61.111	0.01	0.0	0.021	0.025	55.882	0.057	0.0	0.095	0.126	87.879	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria	class			13.884	10.088	1.678	24.722	9.785	100.0	6.741	1.594	13.555	5.207	100.0	13.884	0.969	35.942	14.868	100.0	3.711	0.184	9.607	4.504	100.0	2.657	0.036	6.92	4.314	100.0	3.28	0.081	9.382	4.549	100.0	4.761	0.216	10.756	4.425	97.222	5.791	0.249	15.849	7.08	100.0	3.73	0.197	10.326	5.233	100.0	0.339	0.0	1.29	0.803	45.0
Bacteria;Actinobacteria;Coriobacteriia	class			1.372	0.106	0.002	0.314	0.152	100.0	0.217	0.012	0.558	0.226	92.857	0.485	0.0	0.584	1.417	69.444	0.756	0.042	1.411	1.47	96.774	1.195	0.003	2.699	4.117	97.143	0.36	0.005	1.277	0.579	97.059	1.372	0.085	5.328	2.075	100.0	0.972	0.004	2.309	1.505	100.0	0.714	0.117	1.532	0.69	100.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Deltaproteobacteria	class			0.021	0.009	0.0	0.007	0.045	11.765	0.001	0.0	0.0	0.002	7.143	0.0	0.0	0.0	0.001	2.778	0.0	0.0	0.0	0.001	6.452	0.021	0.0	0.01	0.103	28.571	0.0	0.0	0.0	0.001	2.941	0.0	0.0	0.002	0.001	11.111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	3.03	0.0	0.0	0.0	0.001	5.0
Bacteria;Proteobacteria;Epsilonproteobacteria	class			1.623	0.283	0.004	0.746	0.451	94.118	0.518	0.042	0.612	1.027	100.0	0.279	0.004	0.563	0.582	97.222	0.664	0.067	1.449	0.575	100.0	1.623	0.145	3.232	2.15	100.0	1.327	0.108	3.12	1.859	97.059	0.206	0.038	0.365	0.299	97.222	0.284	0.009	0.573	0.327	100.0	0.722	0.141	1.331	0.859	100.0	0.005	0.0	0.002	0.02	10.0
Bacteria;Firmicutes;Negativicutes	class			8.012	4.502	0.304	11.253	5.297	100.0	4.525	0.677	8.451	3.027	100.0	3.296	0.076	9.487	4.191	100.0	5.666	1.009	10.296	3.667	100.0	4.944	0.234	12.127	6.464	100.0	7.011	0.769	16.685	6.43	100.0	4.176	0.661	9.795	3.469	100.0	6.066	0.155	11.932	4.432	100.0	8.012	2.561	13.742	5.363	100.0	0.03	0.0	0.133	0.063	25.0
Bacteria;Fusobacteria;Fusobacteriia	class			19.097	4.312	0.141	10.864	4.67	100.0	4.392	0.585	8.798	5.76	100.0	3.523	0.081	10.645	4.653	100.0	9.537	2.906	17.257	9.476	100.0	19.097	1.301	39.55	14.494	100.0	18.606	2.61	34.382	12.683	100.0	4.912	0.248	13.532	5.507	100.0	8.045	0.115	22.1	9.812	100.0	8.988	1.389	17.437	8.976	100.0	0.018	0.0	0.085	0.041	30.0
Bacteria;Bacteroidetes;Flavobacteriia	class			8.394	0.437	0.018	0.887	0.551	97.059	0.952	0.024	1.436	2.836	100.0	0.525	0.025	1.185	1.006	100.0	0.252	0.006	0.823	0.416	100.0	4.6	0.127	12.035	5.951	100.0	8.394	0.774	17.838	6.419	100.0	0.438	0.025	1.009	0.638	97.222	0.489	0.009	0.792	1.353	100.0	0.527	0.006	1.745	1.071	100.0	0.003	0.0	0.001	0.013	10.0
Bacteria;Bacteroidetes;Bacteroidia	class			21.166	5.825	0.123	15.892	6.173	100.0	12.7	1.675	26.836	11.275	100.0	5.436	0.118	13.099	6.833	100.0	21.166	7.598	36.219	11.991	100.0	12.074	0.667	27.638	10.234	100.0	5.793	0.511	13.28	5.172	100.0	19.117	1.728	42.886	16.018	100.0	16.148	0.43	30.432	11.038	100.0	20.169	7.816	30.872	9.435	100.0	0.054	0.0	0.156	0.103	40.0
Bacteria;Bacteroidetes;Bacteroidetes_[C-1]	class			0.108	0.012	0.0	0.024	0.04	32.353	0.003	0.0	0.011	0.01	21.429	0.002	0.0	0.003	0.01	16.667	0.108	0.0	0.163	0.372	35.484	0.1	0.0	0.108	0.426	42.857	0.01	0.0	0.021	0.028	26.471	0.003	0.0	0.004	0.009	30.556	0.0	0.0	0.0	0.001	5.882	0.015	0.0	0.035	0.04	33.333	0.0	0.0	0.0	0.0	0.0
Bacteria;Absconditabacteria_(SR1);Absconditabacteria_(SR1)_[C-1]	class			0.604	0.029	0.0	0.097	0.051	52.941	0.046	0.0	0.135	0.109	53.571	0.073	0.0	0.297	0.159	50.0	0.604	0.0	2.621	1.4	64.516	0.209	0.0	0.126	1.407	57.143	0.059	0.0	0.121	0.16	55.882	0.329	0.0	0.715	1.051	63.889	0.106	0.0	0.129	0.379	55.882	0.364	0.0	1.105	0.839	63.636	0.0	0.0	0.0	0.0	0.0
Bacteria;Saccharibacteria_(TM7);Saccharibacteria_(TM7)_[C-1]	class			4.575	0.418	0.007	0.901	0.913	100.0	0.259	0.01	0.52	0.445	96.429	0.458	0.002	2.262	0.924	91.667	0.807	0.039	2.096	1.373	100.0	4.575	0.021	14.415	6.904	100.0	2.986	0.033	6.572	5.847	100.0	0.764	0.042	1.242	2.21	100.0	0.461	0.002	1.007	0.631	100.0	0.805	0.094	1.48	1.139	100.0	0.003	0.0	0.001	0.009	10.0
Bacteria;Synergistetes;Synergistia	class			0.392	0.032	0.0	0.143	0.078	50.0	0.009	0.0	0.031	0.021	28.571	0.004	0.0	0.004	0.013	25.0	0.072	0.0	0.097	0.277	45.161	0.392	0.0	0.972	1.2	57.143	0.024	0.0	0.126	0.048	47.059	0.006	0.0	0.018	0.012	41.667	0.001	0.0	0.002	0.003	17.647	0.009	0.0	0.024	0.023	42.424	0.0	0.0	0.0	0.0	0.0
Bacteria;Chloroflexi;Anaerolineae	class			0.013	0.001	0.0	0.001	0.003	11.765	0.0	0.0	0.0	0.002	7.143	0.0	0.0	0.0	0.002	2.778	0.0	0.0	0.001	0.001	16.129	0.013	0.0	0.003	0.065	20.0	0.001	0.0	0.002	0.002	14.706	0.0	0.0	0.0	0.002	8.333	0.0	0.0	0.0	0.001	2.941	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Tenericutes;Mollicutes	class			0.126	0.014	0.0	0.06	0.035	41.176	0.008	0.0	0.021	0.019	35.714	0.003	0.0	0.011	0.009	25.0	0.126	0.0	0.219	0.407	58.065	0.018	0.0	0.034	0.048	45.714	0.008	0.0	0.027	0.015	41.176	0.007	0.0	0.013	0.017	44.444	0.002	0.0	0.002	0.006	17.647	0.014	0.0	0.037	0.029	39.394	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Erysipelotrichia	class			0.59	0.048	0.0	0.118	0.062	79.412	0.13	0.006	0.34	0.167	89.286	0.319	0.0	0.761	0.904	61.111	0.318	0.013	0.72	0.424	96.774	0.158	0.0	0.432	0.391	82.857	0.088	0.0	0.127	0.272	73.529	0.59	0.031	1.606	0.785	97.222	0.525	0.002	1.681	0.808	97.059	0.36	0.031	0.713	0.608	100.0	0.002	0.0	0.0	0.007	5.0
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-1]	class			0.105	0.004	0.0	0.014	0.007	29.412	0.007	0.0	0.018	0.021	25.0	0.001	0.0	0.003	0.005	22.222	0.0	0.0	0.0	0.002	9.677	0.105	0.0	0.059	0.62	57.143	0.084	0.0	0.324	0.174	58.824	0.003	0.0	0.004	0.011	25.0	0.0	0.0	0.0	0.0	5.882	0.001	0.0	0.004	0.002	24.242	0.0	0.0	0.0	0.0	0.0
Bacteria;Gracilibacteria_(GN02);Gracilibacteria_(GN02)_[C-2]	class			0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.571	0.0	0.0	0.0	0.003	2.778	0.0	0.0	0.0	0.0	3.226	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.011	8.824	0.0	0.0	0.0	0.001	8.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	order			0.209	0.0	0.0	0.0	0.001	5.882	0.002	0.0	0.002	0.005	17.857	0.001	0.0	0.0	0.003	8.333	0.209	0.0	0.0	1.166	6.452	0.001	0.0	0.0	0.01	14.286	0.0	0.0	0.0	0.002	2.941	0.0	0.0	0.0	0.0	2.778	0.0	0.0	0.0	0.0	2.941	0.0	0.0	0.002	0.001	15.152	0.0	0.0	0.0	0.0	0.0
Bacteria;Firmicutes;Clostridia;Eubacteriales	order			4.317	0.92	0.004	2.316	1.318	94.118	1.342	0.066	3.455	1.62	100.0	1.01	0.007	2.188	1.994	97.222	4.317	0.292	10.153	4.401	100.0	2.832	0.064	8.17	3.395	100.0	1.062	0.06	2.138	0.996	100.0	2.958	0.125	6.144	2.804	100.0	3.241	0.017	9.588	4.278	100.0	3.643	0.419	7.774	4.356	100.0	0.001	0.0	0.0	0.003	5.0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales	order			7.849	3.402	0.067	7.131	5.238	100.0	7.849	0.762	20.331	9.567	100.0	3.412	0.032	11.299	8.084	97.222	3.711	0.067	10.031	4.852	96.774	3.159	0.032	9.174	5.658	100.0	2.196	0.192	4.271	3.804	100.0	5.852	0.086	18.758	8.179	97.222	6.976	0.107	17.26	9.985	100.0	4.541	0.077	11.973	6.647	96.97	0.755	0.0	1.701	1.581	65.0
Bacteria;Firmicutes;Tissierellia;Tissierellales	order			3.617	0.154	0.0	0.582	0.234	85.294	0.193	0.008	0.454	0.287	100.0	0.199	0.0	0.541	0.445	77.778	0.533	0.004	1.119	1.268	90.323	1.983	0.001	5.872	3.073	94.286	0.255	0.003	0.504	0.449	91.176	0.609	0.007	1.602	1.167	91.667	0.207	0.0	0.617	0.369	79.412	0.166	0.004	0.383	0.189	93.939	3.617	0.0	7.621	6.031	85.0
Bacteria;Actinobacteria;Actinomycetia;Corynebacteriales	order			59.419	0.213	0.009	0.547	0.297	100.0	0.561	0.033	1.096	1.136	96.429	0.121	0.0	0.166	0.334	91.667	0.633	0.0	0.034	3.43	70.968	3.308	0.034	9.524	6.091	100.0	1.623	0.068	3.705	1.818	100.0	0.036	0.003	0.083	0.047	91.667	0.009	0.0	0.01	0.034	41.176	0.076	0.0	0.069	0.283	81.818	59.419	10.885	94.208	30.259	100.0
Bacteria;Firmicutes;Bacilli;Lactobacillales	order			60.494	59.163	34.017	84.963	18.457	100.0	51.552	31.393	77.771	19.329	100.0	60.494	30.746	89.937	22.734	100.0	40.436	15.466	64.516	20.43	100.0	21.59	3.615	47.628	16.511	100.0	32.338	16.56	54.452	14.997	100.0	46.158	19.959	76.565	22.815	100.0	44.095	21.221	75.877	21.794	100.0	41.41	21.224	64.042	16.415	100.0	1.034	0.004	3.129	1.941	90.0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	order			1.431	0.344	0.0	1.09	0.789	85.294	0.136	0.0	0.266	0.241	85.714	0.082	0.0	0.129	0.282	80.556	0.164	0.0	0.048	0.795	67.742	1.009	0.0	2.57	2.304	94.286	1.431	0.007	2.543	3.754	88.235	0.056	0.0	0.095	0.142	77.778	0.081	0.0	0.064	0.341	35.294	0.017	0.0	0.034	0.025	75.758	0.0	0.0	0.0	0.002	5.0
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales	order			1.366	0.097	0.0	0.275	0.269	64.706	0.028	0.0	0.075	0.07	60.714	0.026	0.0	0.065	0.053	47.222	0.328	0.0	0.425	0.874	77.419	1.366	0.0	3.992	3.435	91.429	0.235	0.0	0.488	0.499	76.471	0.018	0.0	0.051	0.021	61.111	0.01	0.0	0.021	0.025	55.882	0.057	0.0	0.095	0.126	87.879	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	order			0.256	0.001	0.0	0.002	0.001	26.471	0.002	0.0	0.009	0.006	17.857	0.001	0.0	0.001	0.003	13.889	0.095	0.0	0.003	0.527	16.129	0.001	0.0	0.0	0.004	14.286	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.002	13.889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	15.152	0.256	0.0	0.245	0.787	25.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales	order			13.881	10.083	1.678	24.717	9.785	100.0	6.721	1.587	13.488	5.193	100.0	13.881	0.969	35.937	14.868	100.0	3.578	0.184	9.604	4.414	100.0	2.58	0.028	6.538	4.275	100.0	3.176	0.054	9.318	4.547	100.0	4.758	0.215	10.755	4.424	97.222	5.79	0.249	15.848	7.08	100.0	3.725	0.197	10.323	5.221	100.0	0.014	0.0	0.044	0.036	20.0
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales	order			0.0	0.0	0.0	0.0	0.001	5.882	0.0	0.0	0.0	0.0	3.571	0.0	0.0	0.0	0.0	2.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales	order			1.368	0.104	0.002	0.301	0.149	100.0	0.217	0.012	0.558	0.226	92.857	0.483	0.0	0.581	1.414	69.444	0.754	0.042	1.411	1.47	96.774	1.177	0.002	2.652	4.114	97.143	0.355	0.005	1.277	0.574	97.059	1.368	0.085	5.32	2.073	100.0	0.971	0.004	2.309	1.504	100.0	0.713	0.117	1.532	0.689	100.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales	order			0.0	0.0	0.0	0.0	0.003	2.941	0.0	0.0	0.0	0.0	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.226	0.0	0.0	0.0	0.001	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	5.0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales	order			0.021	0.008	0.0	0.0	0.045	8.824	0.0	0.0	0.0	0.002	3.571	0.0	0.0	0.0	0.001	2.778	0.0	0.0	0.0	0.001	6.452	0.021	0.0	0.005	0.103	28.571	0.0	0.0	0.0	0.001	2.941	0.0	0.0	0.0	0.001	8.333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales	order			1.623	0.283	0.004	0.746	0.451	94.118	0.518	0.042	0.612	1.027	100.0	0.279	0.004	0.563	0.582	97.222	0.664	0.067	1.449	0.575	100.0	1.623	0.145	3.232	2.15	100.0	1.327	0.108	3.12	1.859	97.059	0.206	0.038	0.365	0.299	97.222	0.284	0.009	0.573	0.327	100.0	0.722	0.141	1.331	0.859	100.0	0.005	0.0	0.002	0.02	10.0
Bacteria;Firmicutes;Bacilli;Bacillales	order			15.583	3.878	0.33	9.423	6.357	100.0	2.026	0.344	4.54	1.883	100.0	2.85	0.208	9.232	3.513	100.0	2.146	0.173	6.908	2.955	100.0	0.689	0.016	1.658	1.008	100.0	0.634	0.065	1.474	0.944	100.0	1.77	0.159	4.168	1.886	100.0	1.133	0.178	2.525	1.007	100.0	1.666	0.204	3.898	2.232	100.0	15.583	2.05	31.743	23.19	100.0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales	order			5.299	4.511	0.45	11.586	5.502	100.0	3.882	0.472	8.588	5.597	100.0	0.774	0.033	1.88	1.525	100.0	0.851	0.073	1.631	1.339	96.774	5.299	0.084	15.757	8.122	100.0	3.36	0.229	6.517	5.92	100.0	3.054	0.266	7.778	3.255	100.0	1.61	0.06	4.243	2.139	100.0	1.047	0.105	2.538	1.018	100.0	0.016	0.0	0.041	0.025	50.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales	order			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	5.0
Bacteria;Actinobacteria;Actinomycetia;Propionibacteriales	order			19.031	0.022	0.0	0.052	0.024	82.353	0.046	0.0	0.151	0.078	75.0	0.05	0.0	0.027	0.249	77.778	0.021	0.0	0.009	0.095	51.613	0.501	0.002	1.329	1.05	94.286	0.419	0.001	1.127	0.84	88.235	0.008	0.0	0.026	0.011	75.0	0.003	0.0	0.006	0.008	26.471	0.018	0.0	0.052	0.038	57.576	19.031	3.392	47.151	21.65	100.0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales	order			0.068	0.001	0.0	0.001	0.002	14.706	0.001	0.0	0.001	0.002	10.714	0.0	0.0	0.0	0.001	8.333	0.035	0.0	0.0	0.192	9.677	0.001	0.0	0.0	0.004	20.0	0.001	0.0	0.0	0.005	8.824	0.0	0.0	0.0	0.0	5.556	0.0	0.0	0.0	0.0	2.941	0.0	0.0	0.0	0.001	3.03	0.068	0.0	0.078	0.263	15.0
Bacteria;Firmicutes;Negativicutes;Veillonellales	order			7.785	4.382	0.301	10.526	5.243	100.0	4.468	0.676	8.415	2.957	100.0	3.23	0.076	9.397	4.132	100.0	5.446	0.991	10.163	3.712	100.0	3.977	0.102	12.092	6.599	100.0	5.514	0.576	15.065	5.886	100.0	4.091	0.624	9.608	3.411	100.0	6.016	0.155	11.901	4.415	100.0	7.785	1.881	13.402	5.404	100.0	0.03	0.0	0.126	0.061	25.0
